,STATION,LATITUDE,LONGITUDE
0,FREDERICO WESTPHALEN,-27.39555555,-53.42944443
1,ALMENARA,-16.16666666,-40.68777777
2,SAO JOAO DO PIAUI,-8.36444444,-42.2525
3,SAO LUIZ DO PARAITINGA,-23.22833332,-45.41694443
4,UNAI,-16.55388888,-46.88194443
5,TRAMANDAI,-30.00972222,-50.13527777
6,SANTAREM,-2.50277777,-54.72027777
7,ENCRUZILHADA DO SUL,-30.54305555,-52.52472221
8,CRATEUS,-5.1861111,-40.66999999
9,RONDON DO PARA,-4.82749999,-48.17333332
10,CAICO,-6.467474,-37.084931
11,SAO MATEUS,-18.6761111,-39.86416666
12,CASSILANDIA,-19.122471,-51.720732
13,PARANOA (COOPA-DF),-16.012222,-47.557417
14,LENCOIS,-12.557854,-41.388808
15,TRES LAGOAS,-20.78333333,-51.71222222
16,SIDROLANDIA,-20.98166666,-54.97194443
17,SOBRAL,-3.74805555,-40.34583333
18,FLORESTAL,-19.88527777,-44.41694443
19,AQUIDAUANA,-20.47555554,-55.78388888
20,UNAI,-16.55416666,-46.88194443
21,Laguna  - Farol de Santa Marta,-28.60444444,-48.81333333
22,AGUAS VERMELHAS,-15.751536,-41.457787
23,CASTRO,-24.78694444,-49.99916666
24,PALMEIRA DOS INDIOS,-9.42027777,-36.62027777
25,FEIJO,-8.142654,-70.343594
26,COTRIGUACU,-9.90611111,-58.57194443
27,SANTANA DO ARAGUAIA,-9.34055555,-50.35027777
28,PALMAS,-10.14777777,-48.31444444
29,SAO GONCALO,-6.75666666,-38.22749999
30,ITABERABA,-12.51666666,-40.3
31,MAJOR VIEIRA,-26.3936111,-50.36333333
32,NOVO REPARTIMENTO,-4.243989,-49.939308
33,SANTA TERESA,-19.98833333,-40.57944443
34,NITEROI,-22.867389,-43.102056
35,GILBUES,-9.87527777,-45.34583333
36,APODI,-5.62666666,-37.815
37,URUCARA,-2.53472221,-57.75805555
38,CAMBARA DO SUL,-29.04888888,-50.14944444
39,RIO PARDO,-29.872113,-52.38198
40,JARDIM,-21.4786111,-56.13777777
41,CAMARATUBA,-6.56194444,-35.13527777
42,BOM JESUS DA LAPA,-13.251094,-43.405365
43,BURITICUPU,-4.32055554,-46.44944444
44,ITIRUCU,-13.52833332,-40.11972221
45,LENCOIS,-12.55722222,-41.38888888
46,PORTO WALTER,-8.26694443,-72.74777777
47,QUEIMADAS,-10.98472221,-39.61694443
48,SALINOPOLIS,-0.618884,-47.356596
49,CARATINGA,-19.735757,-42.137146
50,BALSAS,-7.45555555,-46.02749999
51,MARILANDIA,-19.40722222,-40.53972221
52,ESPINOSA,-14.91277777,-42.82972221
53,SAO LUIS,-2.526771,-44.213577
54,AGUAS VERMELHAS,-15.75222222,-41.45833333
55,MORADA NOVA,-5.13638888,-38.35638888
56,VILA VELHA,-20.46694443,-40.40388888
57,IBITINGA,-21.855567,-48.799717
58,SAO FELIX  DO ARAGUAIA,-11.61888888,-50.72777777
59,SOURE,-0.72777777,-48.51583333
60,SAO JOAQUIM,-28.27555554,-49.93444444
61,DELFINO,-10.455,-41.20694444
62,UAUA,-9.833617,-39.495631
63,LAGUNA CARAPA,-22.57527777,-55.16027777
64,OURINHOS,-22.9486111,-49.89416666
65,BERTIOGA,-23.84499999,-46.14305555
66,DIAMANTINA,-18.231052,-43.648269
67,CONCEICAO DO ARAGUAIA,-8.30361111,-49.28277777
68,CASA BRANCA,-21.77972221,-47.07972221
69,PARANA,-12.614893,-47.871917
70,JOAO PINHEIRO,-17.78444444,-46.11944443
71,ALTO ARAGUAIA,-17.33944444,-53.22444443
72,SETE QUEDAS,-23.96694443,-55.02416666
73,CANTO DO BURITI,-8.11805554,-42.97583332
74,MARINGA,-23.40777777,-51.91666666
75,LAGES,-27.802228,-50.335457
76,COLINAS,-6.033167,-44.233402
77,CARUARU,-8.2361111,-35.98583333
78,CASTELO DO PIAUI,-5.34916666,-41.51222222
79,SAO MIGUEL DO ARAGUAIA,-12.820489,-50.335969
80,RIO DO CAMPO,-26.937526,-50.145445
81,ITUPORANGA,-27.41833332,-49.64694444
82,CAMPO VERDE,-15.52749999,-55.13555555
83,TEUTONIA,-29.45027777,-51.82416666
84,MACAJUBA,-12.11666666,-40.18333333
85,CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666
86,IPANGUACU,-5.534867,-36.872313
87,Laguna  - Farol de Santa Marta,-28.604414,-48.813313
88,VITORIA,-20.26666666,-40.3
89,RESENDE,-22.450924,-44.444786
90,CAMPOS DO JORDAO,-22.75027777,-45.60388888
91,SAO MIGUEL DO ARAGUAIA,-12.82055554,-50.33583333
92,AMAMBAI,-23.0025,-55.32944443
93,IBOTIRAMA,-12.19305555,-43.21333333
94,ACARAU,-3.121067,-40.087288
95,MONTE ALEGRE,-2.0,-54.07583332
96,SANTA RITA DE CASSIA,-11.00277777,-44.52499999
97,IVAI,-25.01333333,-50.8711111
98,MONTES CLAROS,-16.68638888,-43.84388888
99,MARAU,-13.90722222,-38.97222221
100,BAGE,-31.34777777,-54.01333333
101,CLEVELANDIA,-26.41722221,-52.3486111
102,MAL. CANDIDO RONDON,-24.53583333,-54.01972221
103,TERESINA,-5.07388888,-42.80694444
104,CRUZ DAS ALMAS,-12.65,-39.15
105,OURICURI,-7.88583333,-40.10277777
106,VILA BELA DA SANTISSIMA TRINDADE,-15.062696,-59.872921
107,BOCA DO ACRE,-8.77666666,-67.33249999
108,SINOP,-11.982245,-55.565993
109,CASTELO DO PIAUI,-5.349228,-41.512274
110,VALPARAISO,-21.31916666,-50.93027777
111,CAMPOS LINDOS,-8.15472222,-46.63944444
112,CAIAPONIA,-16.966841,-51.817567
113,BRAGANCA,-1.04722221,-46.78583333
114,NOVA MARINGA,-13.06555555,-57.15611111
115,RONDON DO PARA,-4.827501,-48.173556
116,DRACENA,-21.457699,-51.552254
117,MANTENA,-18.78027777,-40.98583333
118,CAPITAO POCO,-1.73472221,-47.0575
119,TRES LAGOAS,-20.78999999,-51.71222222
120,LARANJEIRAS DO SUL,-25.36888888,-52.39194444
121,CONCEICAO DO ARAGUAIA,-8.30361,-49.28277
122,SACRAMENTO,-19.87527777,-47.43416666
123,ITAPIPOCA,-3.48388888,-39.58833333
124,PRESIDENTE FIGUEIREDO,-2.05666666,-60.02583332
125,ARAGARCAS,-15.902658,-52.245172
126,SERRA TALHADA,-7.954277,-38.295082
127,ITIQUIRA,-17.29722221,-54.83722221
128,TAUBATE,-23.041668,-45.520841
129,XANXERE,-26.9386111,-52.415
130,UBERABA,-19.71,-47.96194444
131,CAMPO GRANDE,-20.447195,-54.722615
132,BRASILIA,-15.78944444,-47.92583332
133,BOM JESUS DO PIAUI,-9.07999999,-44.32777777
134,MINA DO PALITO,-6.320067,-55.787783
135,IGUATU,-6.39666666,-39.27027777
136,ANGICAL DO PIAUI,-6.08944444,-42.72749999
137,SANTO AUGUSTO,-27.854345,-53.791179
138,CARLINDA,-9.97055554,-55.82749999
139,HUMAITA,-7.55252,-63.071343
140,MACAU,-5.15111111,-36.57305554
141,NOVA VENECIA,-18.69527777,-40.4075
142,SAO JOAQUIM,-28.27564,-49.934617
143,FLORESTA,-8.598785,-38.584062
144,PALMAS,-10.18333333,-48.3
145,URUGUAIANA,-29.84249999,-57.08249999
146,RIO VERDE,-17.785303,-50.964869
147,SAO MIGUEL DO OESTE,-26.78638888,-53.51416666
148,PRADOPOLIS,-21.33833333,-48.11388888
149,SAO MIGUEL DO OESTE,-26.7861111,-53.51388888
150,CHAPADINHA,-3.74277777,-43.35222222
151,ITAMARAJU,-17.436667,-39.550861
152,PIUM,-10.47694443,-49.62944443
153,BARUERI,-23.52333332,-46.86916666
154,GILBUES,-9.87472221,-45.34638888
155,COMODORO,-13.70805555,-59.7625
156,PRES. KENNEDY,-21.10083333,-41.03944444
157,VENTANIA,-24.28027777,-50.21027777
158,BARCELOS,-0.987292,-62.924251
159,JAPIRA,-23.77305554,-50.18055554
160,MARIA DA FE,-22.31444444,-45.37277777
161,MARIA DA FE,-22.31444444,-45.37305554
162,ALFREDO CHAVES,-20.636526,-40.741818
163,BARRA,-11.084858,-43.138998
164,ALEGRETE,-29.70916666,-55.52555554
165,FLORIANO,-6.76138888,-43.00333333
166,MORRETES,-25.508935,-48.808681
167,TRAMANDAI,-30.01027777,-50.13583333
168,GOIANESIA,-15.22027777,-48.98999999
169,PARINTINS,-2.639152,-56.756177
170,IMPERATRIZ,-5.555723,-47.459794
171,ARAPIRACA,-9.80416666,-36.61888888
172,DORES DO INDAIA,-19.48194443,-45.59388888
173,CAMPO VERDE,-15.53138888,-55.13555555
174,RIO GRANDE,-32.07878,-52.167738
175,NHUMIRIM,-18.9886111,-56.62277777
176,MACAPA,0.03502,-51.088763
177,RONDON DO PARA,-4.82749999,-48.1736111
178,MONTE VERDE,-22.86166666,-46.04333333
179,SURUBIM,-7.83694444,-35.7961111
180,SAO MIGUEL DO OESTE,-26.77638888,-53.50416666
181,SERRA TALHADA,-7.95416666,-38.29499999
182,ALEGRETE,-29.709083,-55.525486
183,CAARAPO,-22.657056,-54.819306
184,ALTO PARNAIBA,-9.108199,-45.932016
185,S. G. DA CACHOEIRA,-0.12499999,-67.06111111
186,CASTRO,-24.78944444,-49.99972221
187,ERECHIM,-27.66027777,-52.30638888
188,GUARANTA DO NORTE,-9.95,-54.88333333
189,PETROLINA,-9.38805555,-40.48944444
190,BARREIRAS,-12.124715,-45.027049
191,S.J. DO RIO CLARO,-13.453981,-56.677323
192,ITAPORA,-22.092833,-54.798833
193,TEUTONIA,-29.44916666,-51.82333332
194,SAO PAULO - MIRANTE,-23.48333333,-46.61666666
195,TRES MARIAS,-18.20055555,-45.45972222
196,JAGUARAO,-32.53472221,-53.37583332
197,BOCA DO ACRE,-8.776804,-67.332557
198,CHAPADAO DO SUL,-18.80222222,-52.60277777
199,SAO MIGUEL ARCANJO,-23.85138888,-48.16444444
200,RIO NEGRINHO,-26.2486111,-49.57416666
201,SANTA MARIA,-29.72496,-53.720469
202,SAO MATEUS,-18.676198,-39.864051
203,MURIAE,-21.10472222,-42.37583332
204,SANTA ROSA DO TOCANTINS,-11.429018,-48.184889
205,PETROLINA,-9.38833333,-40.52333332
206,SERRA DOS CARAJAS,-6.07749999,-50.14222221
207,BRAGANCA PAULISTA,-22.951944,-46.530556
208,CAMPINA VERDE,-19.53916666,-49.51805554
209,ALTO ARAGUAIA,-17.33944444,-53.22416666
210,RIO BRILHANTE,-21.77472221,-54.52805554
211,ALTO PARAISO DE GOIAS,-14.133074,-47.523258
212,TANGARA DA SERRA,-14.650117,-57.431556
213,ALMAS,-11.284098,-47.212125
214,VALENCA DO PIAUI,-6.39916666,-41.73999999
215,BOM JESUS DA LAPA,-13.25111111,-43.40527777
216,NHUMIRIM,-18.98888888,-56.62305554
217,PLANALTO,-25.721863,-53.74792
218,DIONISIO CERQUEIRA,-26.286562,-53.633114
219,SAO MIGUEL DO OESTE,-26.77666666,-53.50444444
220,BARUERI,-23.52388888,-46.86944443
221,CAMAPUA,-19.58749999,-54.02999999
222,BELEM,-1.41027777,-48.43833333
223,DOIS VIZINHOS,-25.69916666,-53.09527777
224,FORMOSO DO RIO PRETO,-11.05222222,-45.20083333
225,GOVERNADOR VALADARES,-18.830354,-41.977007
226,PONTES E LACERDA,-15.23444444,-59.3461111
227,ITAUBAL,0.56777777,-50.8236111
228,VALENCA,-22.35,-43.7
229,TUCURUI,-3.82276,-49.674956
230,AMARGOSA,-13.00944444,-39.61694443
231,CAMAQUA,-30.807953,-51.83424
232,SAO GABRIEL,-30.34138888,-54.31083333
233,PORTO WALTER,-8.267197,-72.747838
234,LAGOA DA CONFUSAO,-10.828286,-49.847882
235,PARNAIBA,-3.086656,-41.783139
236,SAO JOSE DOS AUSENTES,-28.748615,-50.057869
237,SAO MIGUEL ARCANJO,-23.89083333,-47.99916666
238,LUIZ EDUARDO MAGALHAES,-12.152394,-45.829745
239,MOSTARDAS,-31.24833333,-50.90638888
240,PARQUE ESTADUAL CHANDLESS,-9.35833333,-69.92638888
241,VOTUPORANGA,-20.40305555,-49.96583333
242,UNA,-15.27999999,-39.0911111
243,SAO FELIX  DO ARAGUAIA,-11.619023,-50.727856
244,BONITO,-21.246756,-56.450442
245,JOAQUIM TAVORA,-23.505266,-49.946387
246,MARINGA,-23.40527777,-51.93277777
247,PARAGOMINAS,-2.99027777,-47.40777777
248,SAO RAIMUNDO NONATO,-9.03333333,-42.70111111
249,CARMO,-21.9386111,-42.60083333
250,CIDADE GAUCHA,-23.37583332,-52.93194443
251,CAMPOS NOVOS,-27.3886111,-51.21583333
252,GUANHAES,-18.78694444,-42.94305555
253,SAO ROMAO,-16.362747,-45.123801
254,AGUA CLARA,-20.44444,-52.87583
255,NOVA ANDRADINA,-22.0786111,-53.46583333
256,MANICORE,-5.7886111,-61.28833333
257,CHAPECO,-27.0853111,-52.6357111
258,PEDRO AFONSO,-8.968677,-48.177259
259,PREGUICAS,-2.59222221,-42.7075
260,MANACAPURU,-3.29472221,-60.62833332
261,ANGRA DOS REIS,-22.97583332,-44.30333333
262,S.J. DO RIO CLARO,-13.45,-56.66666666
263,RIO BRANCO,-9.67972221,-68.16527777
264,NOVA VENECIA,-18.69527777,-40.39055555
265,PARANATINGA,-14.42138888,-54.03527777
266,JALES,-20.165025,-50.595134
267,SAO VICENTE DO SUL,-29.70222222,-54.69444444
268,DOM ELISEU,-4.28999999,-47.55
269,CAMPINA DA LAGOA,-24.57083332,-52.8025
270,ALTO PARNAIBA,-9.10805555,-45.93194443
271,AREIA,-6.975451,-35.718128
272,JAGUARIBE,-5.90555555,-38.62777777
273,CONCEICAO DAS ALAGOAS,-19.98586,-48.151574
274,ERECHIM,-27.65777777,-52.30583333
275,MARAMBAIA,-23.05,-43.6
276,CORURIPE,-10.1286111,-36.28638888
277,MEDICILANDIA,-3.51083333,-52.96333333
278,VILHENA,-12.73499999,-60.15777777
279,CAMPOS DO JORDAO,-22.750231,-45.603836
280,SAO SIMAO,-18.969142,-50.633449
281,COLINAS DO TOCANTINS,-8.09277777,-48.4786111
282,APUI,-7.205475,-59.888561
283,PARANAIBA,-19.69527777,-51.18138888
284,TUCURUI,-3.82277777,-49.67499999
285,RIO PARDO DE MINAS,-15.723139,-42.435756
286,IBIRUBA,-28.65333333,-53.11194444
287,LINHARES,-19.35694444,-40.0686111
288,CRISTALINA,-16.78499999,-47.61305555
289,MOSTARDAS,-31.248279,-50.906279
290,XINGUARA,-7.110518,-49.926072
291,MAJOR VIEIRA,-26.393664,-50.363211
292,JOAO PESSOA,-7.16583333,-34.81527777
293,BELMONTE,-16.08805555,-39.21527777
294,PIATA,-13.15583333,-41.77416666
295,NITEROI,-22.86749999,-43.10194444
296,SANTA ROSA,-27.89055555,-54.47999999
297,MARILANDIA,-19.407181,-40.539825
298,RIO PARDO DE MINAS,-15.72305554,-42.43583333
299,PARINTINS,-2.63916666,-56.75611111
300,CACAPAVA DO SUL,-30.54527777,-53.46694443
301,RIO SONO,-9.16,-47.13277777
302,SAO JOAO DO PIAUI,-8.36472222,-42.25083333
303,ITAPACI,-14.97972221,-49.53999999
304,CACERES,-16.07444443,-57.69277777
305,CAMPINA VERDE,-19.53921,-49.518133
306,SANTA MARIA DAS BARREIRAS,-8.72972221,-49.85638888
307,IBIRITE (ROLA MOCA),-20.031457,-44.011249
308,CALCANHAR,-5.16,-35.48749999
309,URUCARA,-2.534749,-57.758099
310,BELO HORIZONTE (PAMPULHA),-19.88388888,-43.96944443
311,RIO NEGRINHO,-26.248411,-49.580624
312,PARANAPOEMA,-22.49166666,-52.13444444
313,DELFINO,-10.45492,-41.206996
314,AIMORES,-19.532768,-41.090801
315,VALENCA DO PIAUI,-6.4236111,-41.74888888
316,BELA VISTA,-22.10083333,-56.53999999
317,MARILIA,-22.235222,-49.965111
318,SANTIAGO,-29.191599,-54.885653
319,INDAIAL,-26.913704,-49.267978
320,TOME ACU,-2.6,-48.36666666
321,SAO BORJA,-28.650092,-56.016291
322,SETE LAGOAS,-19.45527777,-44.17333332
323,Santa Vitoria do Palmar - Barra do Chui,-33.742297,-53.372218
324,ECOLOGIA AGRICOLA,-22.8,-43.68333333
325,INDAIAL,-26.91361111,-49.26805554
326,SAO PAULO - MIRANTE,-23.49638888,-46.61999999
327,BURITIS,-15.524262,-46.435536
328,TERESINA,-5.03472221,-42.80138888
329,PIRES DO RIO,-17.30416666,-48.28416666
330,RESENDE,-22.45,-44.45
331,MAL. CANDIDO RONDON,-24.53333333,-54.01916666
332,ARRAIAL DO CABO,-22.98333333,-42.01666666
333,LARANJEIRAS DO SUL,-25.37138888,-52.40083333
334,BOCA DO ACRE,-8.77666666,-67.33222221
335,PEIXE,-12.01666666,-48.55
336,ITAPORANGA,-7.31833332,-38.14083333
337,BREJO GRANDE,-10.473959,-36.482051
338,SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777
339,CALCANHAR,-5.159925,-35.487616
340,CONDE,-12.03583333,-37.68388888
341,PAULISTANA,-8.132288,-41.142945
342,PALMAS,-10.190744,-48.301811
343,PARATI,-23.22333332,-44.72666666
344,ZE DOCA,-3.26916666,-45.65111111
345,COARI,-4.097483,-63.145322
346,GUIRATINGA,-16.34166666,-53.76611111
347,FLORESTAL,-19.885398,-44.416883
348,BARREIRAS,-12.15,-45.01666666
349,BARRA,-11.08472221,-43.13916666
350,FLORIANOPOLIS,-27.6025,-48.61999999
351,UBERABA,-19.71,-47.96166666
352,GURUPI,-11.74583333,-49.04972221
353,SOLEDADE,-28.85361111,-52.55833333
354,RIO CLARO,-22.65361111,-44.04083333
355,MANHUACU,-20.26333333,-42.18277777
356,ITABAIANINHA,-11.2725,-37.795
357,RIO VERDE,-17.78583333,-50.98138888
358,PRESIDENTE KENNEDY,-21.10083333,-41.03944444
359,SEROPEDICA-ECOLOGIA AGRICOLA,-22.75777777,-43.68472221
360,CURVELO,-18.747711,-44.453785
361,CHAPADAO DO SUL,-18.802187,-52.60262
362,ALTAMIRA,-3.26999999,-52.39472221
363,ABROLHOS,-17.96305555,-38.70333333
364,ITABAIANA,-10.67166666,-37.47138888
365,NOVA TEBAS,-24.43722221,-51.96305555
366,SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888
367,BOM JESUS DA LAPA,-13.41666666,-43.18416666
368,COSTA RICA,-18.492665,-53.171261
369,CRUZ ALTA,-28.60344,-53.673597
370,IPIAU,-14.171304,-39.692502
371,BELEM,-1.411228,-48.439512
372,AMARGOSA,-13.009468,-39.616881
373,GRAJAU,-5.81611111,-46.16222222
374,VILA MILITAR,-22.86083333,-43.41111111
375,MARIANOPOLIS DO TO,-9.57638888,-49.72333332
376,SAO ROMAO,-16.36277777,-45.12388888
377,BARRA DO CORDA,-5.50666666,-45.23694444
378,MACAPA,0.03499999,-51.08888888
379,CAIAPONIA,-16.96666666,-51.81749999
380,PORTO SEGURO,-16.388977,-39.182389
381,MIRANDA,-20.38333333,-56.41666666
382,XINGUARA,-7.11027777,-49.92583332
383,MATEIROS,-10.434441,-45.921941
384,TURIACU,-1.66166666,-45.37277777
385,CANTO DO BURITI,-8.117939,-42.975721
386,PAMPULHA,-19.883945,-43.969397
387,QUARAI,-30.3686111,-56.43722221
388,BARBACENA,-21.228373,-43.767703
389,CARUARU,-8.36527777,-36.02833332
390,ITAPACI,-14.979792,-49.539977
391,SERRINHA,-11.66472222,-39.02305554
392,CRATEUS,-5.186636,-40.672128
393,URUCARA,-2.89638888,-57.75833333
394,ITUVERAVA,-20.35944444,-47.77499999
395,MINEIROS,-17.45472222,-52.60111111
396,CAMAQUA,-30.81055555,-51.83472221
397,MARABA,-5.366447,-49.051166
398,IBIRUBA,-28.653458,-53.111881
399,NOVO HORIZONTE,-26.406499,-52.850366
400,CRUZEIRO DO SUL,-7.61055555,-72.405
401,PORTO ALEGRE,-30.053536,-51.174766
402,SAO BORJA,-28.65,-56.01638888
403,CARLINDA,-9.970586,-55.827543
404,IGUAPE,-24.71666666,-47.55
405,VOTUPORANGA,-20.40333333,-49.96611111
406,TOME ACU,-2.59249999,-48.36055555
407,BATAGUASSU,-21.750123,-52.471294
408,DIAMANTINA,-18.2311111,-43.64805555
409,PAULISTANA,-8.07999999,-41.07999999
410,TANGARA DA SERRA,-14.65,-57.41666666
